atractosteus spatula,Alligator Gar,atractosteus,lepisosteidae,nearctic,brackish water,NE
aulacorhynchus prasinus,Toucanet,aulacorhynchus,ramphastidae,neotropical,rainforest,LC
aurelia aurita,Moon Jelly;Saucer Jelly,aurelia,ulmaridae,indian ocean;atlantic ocean;pacific ocean,reef;lakes;coastal,NE
avicularia versicolor,Martinique Pinktoe Tarantula,avicularia,theraphosidae,neotropical,forest,NE
axis axis,Chital;Cheetal;Axis Deer;Spotted Deer,axis,cervidae,oriental,savanna/grassland;riparian,LC
aythya affinis,Lesser Scaup,aythya,anatidae,neotropical,marsh;tundra,LC
aythya americana,Red Head Duck,aythya,anatidae,nearctic,marsh,LC
aythya valisineria,Canvasback,aythya,anatidae,neatctic,lakes;rivers;coastal;brackish water;marsh;estuarine,LC
babyrousa celebensis,North Sulawesi Babirusa,babyrousa,suidae,oriental,forest;riparian,VU
balaeniceps rex,Shoebill Stork,balaeniceps,balaenicipitidae,ethiopian,swamp,VU
balearica pavonina,Black-Crowned Crane,balearica,gruidae,ethiopian,savanna/grassland,VU
balearica regulorum gibbericeps,East African Crowned Crane;Grey Crowned Crane,balearica,gruidae,ethiopian,savanna/grassland;marsh,VU
balistoides conspicillum,Clown Triggerfish;Bigspotted Triggerfish,balistoides,balistidae,indian ocean;pacific ocean,reef,NE
basiliscus basiliscus,Green Basilisk,basiliscus,corytophanidae,neotropical,rainforest,LC
bassariscus astutus,Ringtail Cat,bassariscus,procyonidae,nearctic,desert,LC
batagur borneoensis,Painted Terrapin;Painted Batagur;Saw-Jawed Turtle,batagur,geoemydidae,oriental,rainforest,CR
bettongia penicillata,Woylie;Brush-Tailed Bettong,bettongia,potoroidae,australian,forest,CR
bison bison,American Bison,bison,bovidae,nearctic,savanna/grassland;forest;scrub forest,NT
bitis gabonica,Gaboon Viper,bitis,viperidae,ethiopian,rainforest;swamp;estuarine,NE
blaberus giganteus,Central American Giant Cave Cockroach,biaberus,blaberidae,neotropical,rainforest,NE
boa constrictor,Boa Constrictor,boa,boidae,neotropical,rainforest,NE
boiga dendrophila,Mangrove Snake,boiga,colubridae,palearctic,rainforest;swamp,LC
bombina orientalis,Oriental Fire-Bellied Toad,bombina,bombinatoridae,palearctic;oriental,forest;lakes;rivers;marsh;swamp;riparian,LC
bos gaurus,Gaur;Indian Bison,bos,bovidae,oriental,forest,VU
bos taurus,Cattle,bos,bovidae,cosmopolitan,desert/dune;savanna/grassland;chaparral;forest;scrub forest;agricultural,NE
bos texanus,Texas Longhorn,bos,bovidae,nearctic,savanna/grassland,NE
bostrychia hagedash,Hadada Ibis,bostrychia,threskiornithidae,ethiopian,rivers;savanna/grassland,LC
bothriechis rowleyi,Mexican Palm-Pitviper,bothriechis,viperidae,neotropical,forest,VU
bothriechis schlegelii,Eyelash Viper,bothriechis,viperidae,neotropical,forest;rainforest,NE
bothrops erythromelas,Caatinga Lance-Head Viper;Jararaca-Da-Seca,bothrops,viperidae,neotropical,forest,LC
brachylophus bulabula,Fiji Island Banded Iguana,brachylophus,iguanidae,island endemic,rainforest,EN
brachypelma albopilosum,Curly Hair Tarantula,brachypelma,theraphosidae,neotropical,scrub forest,NE
brachypelma smithi,Mexican Red-Knee Tarantula,brachypelma,theraphosidae,nearctic;neotropical,rainforest;scrub forest,NT
branta canadensis,Canada goose,branta,anatidae,nearctic,lakes,LC
branta ruficollis,Red-Breasted Goose,branta,anatidae,holarctic,tundra;taiga,VU
branta sandvicensis,Nene;Hawaiian Goose,branta,anatidae,island endemic,savanna/grassland;coastal;suburban,VU
bubalus depressicornis,Anoa,bubalus,bovidae,oriental,forest;swamp,EN
bubo bubo,Eurasian Eagle Owl,bubo,strigidae,palearctic;oriental;ethiopian;cosmopolitan;holarctic,tundra;taiga;desert/dune;forest;mountains;scrub forest;suburban,LC
bubo lacteus,Verreaux's Eagle Owl;Milky Eagle Owl;Giant Eagle Owl,bubo,strigidae,ethiopian,savanna/grassland;riparian;scrub forest,LC
bubo scandiacus,Snowy Owl,bubo,strigidae,nearctic;palearctic,forest,LC
bubo virginianus,Great Horned Owl,bubo,strigidae,neotropical;nearctic,forest;mountains,LC
bubulcus ibis,Cattle Egret,bubulcus,ardeidae,palearctic;ethiopian;cosmopolitan,savanna/grassland;forest;rainforest;scrub forest,LC
bucephala albeola,Bufflehead,bucephala,anatidae,nearctic,forest;lakes;rivers;brackish water;coastal;marsh;swamp;riparian;estuarine,LC
bucephala islandica,Barrow's Goldeneye,bucephala,anatidae,nearctic;palearctic,forest;lakes;rivers;coastal;estuarine,LC
buceros bicornis,Great Hornbill,buceros,bucerotidae,oriental,forest,NT
buceros rhinoceros,Rhinoceros Hornbill,buceros,bucerotidae,oriental,rainforest,NT
bucorvus leadbeateri,Southern Ground Hornbill,bucorvus,bucerotidae,ethiopian,savanna/grassland,VU
budorcas taxicolor,Takin,budorcas,bovidae,palearctic,mountains,VU
budorcas taxicolor tibetana,Sichuan Takin,budorcas,bovidae,palearctic,forest,VU
bugeranus carunculatus,Wattled Crane,bugeranus,gruidae,ethiopian,savanna/grassland;lakes;rivers;marsh;riparian,VU
burhinus capensis,Cape Thick-Knee;Spotted Thick-Knee;Spotted Dikkop,burhinus,burhinidae,ethiopian,savanna/grassland,LC
buteo jamaicensis,Red-Tailed Hawk,buteo,accipitridae,nearctic,desert/dune;savanna/grassland;forest;urban,LC
buteo lagopus,Rough-Legged Buzzard;Rough-Legged Hawk,buteo,accipitridae,nearctic,forest;scrub forest,LC
buteo lineatus,Red shouldered hawk,buteo,accipitridae,neotropical;nearctic,coastal,LC
buteo solitarius,Hawaiian Hawk,buteo,accipitridae,island endemic,forest,NT
buteo swainsoni,Swainson Hawk,buteo,accipitridae,nearctic,savanna/grassland,LC
butorides virescens,Green Heron,butorides,ardeidae,nearctic,lakes;rivers,LC
bycanistes brevis,Silvery-Cheeked Hornbill,bycanistes,bucerotidae,ethiopian,rainforest;forest,LC
bycanistes bucinator,Trumpeter Hornbill,bycanistes,bucerotidae,ethiopian,forest,Lc
cacatua galerita,Sulphur-Crested Cockatoo,cacatua,cacatuidae,australian,rainforest,LC
cacatua moluccensis,Salmon-Crested Cockatoo,cacatua,cacatuidae,oriental,forest,VU
cacatua sanguinea,Little Corella;Bare-Eyed Cockatoo;Blood-Stained Cockatoo;Short-Billed Corella;Little Cockatoo;Blue-Eyed Cockatoo,cacatua,cacatuidae,australian,forest;savanna/grassland,LC
cacatua sulphurea,Yellow-Crested Cockatoo;Lesser Sulphur-Crested Cockatoo,cacatua,cacatuidae,oriental,forest,CR
cacicus cela,Yellow-Rumped Cacique,cacicus,icteridae,neotropical,forest,LC
caiman crocodilus,Spectacled Caiman,caiman,alligatoridae,neotropical,river,LC
cairina moschata,Muscovy Duck,cairina,anatidae,nearctic,lakes,LC
callicebus donacophilus,White-Eared Titi;Bolivian Titi,callicebus,pitheciidae,neotropical,rainforest;forest,LC
callimico goeldii,Goeldi's Marmoset;Goeldi's Monkey,callimico,callitrichidae,neotropical,rainforest;forest,VU
callipepla gambelii,Gambel's Quail,callipepla,odontophoridae,nearctic,desert,LC
callithrix geoffroyi,White-Headed Marmoset;Geoffroy's Marmoset,callithrix,callitrichidae,neotropical,rainforest,LC
callonetta leucophrys,Ringed Teal Duck,callonetta,anatidae,neotropical,swamp;marsh;lakes,LC
calloplesiops altivelis,Comet;Marine Betta,calloplesiops,plesiopidae,indian ocean;pacific ocean,reef,NE
callosciurus prevostii,Prevost's Squirrel;Asian Tri-Colored Squirrel,callosciurus,sciuridae,oriental,forest,LC
calocitta colliei,Black-Throated Magpie Jay,calocitta,corvidae,neotropical,forest;scrub forest;riparian,LC
caloenas nicobarica,Nicobar Pigean,caloenas,columbidae,oriental,forest;coastal;rainforest,NT
camelus bactrianus,Bactrian Camel,camelus,camelidae,palearctic,desert/dune;savanna/grassland,NE
camelus dromedarius,Dromedary Camel,camelus,camelidae,palearctic,desert/dune;savanna/grassland,NE
canis latrans,Coyote,canis,canidae,nearctic,taiga;desert/dune;savanna/grassland;chaparral;forest;scrub forest;mountains;swamp;urban;suburban;riparian,LC
canis lupus,Gray Wolf,canis,canidae,nearctic;palearctic,tundra;taiga;chaparral;forest;scrub forest;mountains,LC
canis lupus baileyi,Mexican Gray Wolf;Lobo,canis,canidae,nearctic,frest;savanna/grassland,EN
canis lupus dingo,Dingo,canis,canidae,oriental;australian,forest;suburban,VU
canis lupus familiaris,Domestic Dog,canis,canidae,palearctic,savanna/grassland,NE
canis rufus,Red Wolf,canis,canidae,nearctic,forest;scrub forest,CR
capra aegagrus hircus,Dwarf Nigerian Goat,capra,bovidae,palearctic,suburban,LC
capra falconeri heptneri,Bukharan Markhor;Turkomen Markhor ,capra,bovidae,palearctic,savanna/grassland,EN
capra hircus,Domestic Goat,capra,bovidae,palearctic;cosmopolitan,taiga;desert/dune;savanna/grassland;chaparral;forest;rainforest;scrub forest;mountains,NE
capra hircus hircus,West African Pygmy Goat,capra,bovidae,nearctic,savanna/grasslands,NE
capra nubiana,Nubian Ibex,capra,bovidae,palearctic,desert/dune;mountains,VU
caracal caracal,Caracal,caracal,felidae,ethiopian,savanna/grassland,LC
caracara cheriway,Northern Crested Caracara,caracara,falconidae,nearctic;neotropical,savanna/grassland,NE
caranx hippos,Crevalle Jack;Common Jack;Black-Railed Trevally;Couvalli Jack;Black Cavalli;Jack Crevale;Yellow Cavalli,caranx,carangidae,atlantic ocean,ocean,NE
carcharhinus melanopterus,Blacktip Reef Shark,carcharhinus,carcharhinidae,indian ocean;pacific ocean,ocean;brackish water;coastal,NT
carcharhinus plumbeus,Sandbar Shark,carcharhinus,carcharhinidae,atlantic ocean;pacific ocean,ocean,VU
carcharias taurus,Sand Tiger Shark,carcharias,odontaspididae,atlantic ocean;pacific ocean,ocean,VU
cardinalis cardinalis,Northern Cardinal,cardinalis,cardinalidae,nearctic,swamp;forest,LC
carettochelys insculpta,Pig-Nosed Turtle,carettochelys,carettochelyidae,australian,ocean;brackish water;coastal,VU
cariama cristata,Red-Legged Seriema,cariama,cariamidae,neotropical,coastal,LC
carollia perspicillata,Seba's Short-Tailed Bat,carollia,phyllostomidae,neotropical,forest,LC
castor canadensis,North American Beaver,castor,castoridae,nearctic,rivers,LC
casuarius casuarius,Double-Wattled Cassowary;Southern Cassowary,casuarius,casuariidae,australian,rainforest,VU
catagonus wagneri,Chacoan Peccary;Tagua,catagonus,tayassuidae,neotropical,scrub forest,EN
cathartes aura,Turkey Vulture;Turkey Buzzard;John Crow;Carrion Crow,cathartes,cathartidae,neotropical;nearctic,tundra;desert/dune;savanna/grassland;chaparral;forest;mountains;urban;suburban;riparian;estuarine,LC
cavia porcellus,Guinea Pig;Guinea Forest Hog,cavia,caviidae,neotropical,savanna/grassland,NE
cebuella pygmaea,Pygmy Marmoset,cebuella,callitrichidae,neotropical,rainforest,LC
cebus albifrons,White-Fronted Capuchin,cebus,cebidae,neotropical,forest;rainforest,LC
cebus capunicus,Capuchin Monkey;White-Headed Capuchin,cebus,cebidae,neotropical,forest;rainforest;riparian,LC
celestus warreni,Giant Haitian Galliwasp,celestus,anguidae,neotropical,forest,CR
centropomus undecimalis,Common Snook,centropomus,centropomidae,atlantic ocean,coastal;estuarine,NE
centropyge bispinosa,Coral Beauty Angelfish;Twospined Angelfish;Dusky Angelfish,centropyge,pomacentridae,indian ocean;pacific ocean,reef,LC
cephalophus silvicultor,Yellow-Backed Duiker,cephalophus,bovidae,ethiopian,forest;rainforest,LC
ceratophrys ornata,Argentine Horned Frog,ceratophrys,ceratophryidae,neotropical,forest;rainforest,NT
ceratopipra erythrocephala,Golden-Headed Manakin,ceratopipra,pipridae,neotropical,forest,LC
ceratotherium simum,White Rhinoceros;Southern White Rhinocerous,ceratotherium,rhinocerotidae,ethiopian,savanna/grassland,NT
cercocebus torquatus,Collared Mangabey;Red-Capped Mangabey,cercocebus,cercopithecidae,ethiopian,forest;rainforest;swamp,VU
cercopithecus ascanius,Red-Tailed Monkey;Black-Cheeked White-Nosed Monkey;Red-Tailed Guenon;Redtail Monkey;Schmidt's Guenon,cercopithecus,cercopithecidae,ethiopian,forest;rainforest,LC
cercopithecus diana,Diana Monkey,cercopithecus,cercopithecidae,ethiopian,forest,VU
cercopithecus mitis,Blue Monkey,cercopithecus,cercopithecidae,ethiopian,forest,LC
cercopithecus neglectus,De Brazza's Monkey,cercopithecus,cercopithecidae,ethiopian,forest;rainforest,LC
cervus elaphus,Elk;Red Deer;Wapiti,cervus,cervidae,nearctic;palearctic,taiga;savanna/grassland;forest;mountains;suburban;riparian,LC
chaetodipterus faber,Atlantic Spadefish,chaetodipterus,ephippidae,atlantic ocean,coastal,NE
chaetodon auriga,Threadfin Butterflyfish,chaetodon,chaetodontidae,australian,reef,NE
chaetodon ephippium,Saddle Butterflyfish,chaetodon,chaetodontidae,australian,reef,NE
chaetodon lunula,Raccoon Butterflyfish;Crescent-Masked Butterflyfish;Halfmoon Butterflyfish,chaetodon,chaetodontidae,indian ocean;pacific ocean;atlantic ocean,reef,NE
chaetophractus vellerosus,Screaming Hairy Armadillo,chaetophractus,chlamyphoridae,neotropical,savanna/grassland;desert/dune;scrub forest,LC
chamaeleolis barbatus,Cuban False Chameleon Anole,chamaeleolis,polychrotidae,neotropical,forest,NE
charina bottae,Rubber Boa,charina,boidae,nearctic,savanna/grassland;forest,LC
chauna torquata,Crested Screamer,chauna,anhimidae,neotropical,savanna/grassland,LC
cheilinus undulatus,Humphead Wrasse,cheilinus,labridae,indian ocean;pacific ocean,reef,EN
chelmon rostratus,Copperband Butterflyfish;Beaked Butterflyfish;Beaked Coralfish;Orange Stripe Butterfly,chelmon,chaetodontidae,pacific ocean,reef,LC
chelodina longicollis,Eastern Long-Necked Turtle,chelodina,chelidae,australian,lakes;rivers,LC
chelonoidis carbonaria,Red-Footed Tortoise,chelonoidis,testudinidae,neotropical,savanna/grassland;forest;rainforest;marsh;swamp,VU
chelonoidis nigra,Galapagos Tortoise,chelonoidis,testudinidae,palearctic,savanna/grassland,VU
chelus fimbriata,Matamata,chelus,chelidae,neotropical,swamp,LC
chelydra serpentina,Common Snapping Turtle,chelydra,chelydridae,nearctic,estuarine,LC
chenonetta jubata,Australian Wood Duck;Maned Duck;Maned Goose,chenonetta,anatidae,australian,savanna/grassland;suburban,LC
chincilla chinchilla,Short-Tailed Chinchilla,chinchilla,chinchillidae,neotropical,coastal;mountains,EN
chincilla lanigera,Long-Tailed Chinchilla;Common Chinchilla;Lesser Chinchilla,chinchilla,chinchillidae,neotropical,coastal;mountains,EN
choeropsis liberiensis,Pygmy Hippopotamus,choeropsis,hippopotamidae,ethiopian,rainforest;swamp;river,EN
choloepus didactylus,Linnaeus's Two-Toed Sloth,choloepus,megalonychidae,ethiopian,tropical,LC
choloepus hoffmanni,Hoffmann's Two-Toed Sloth,choloepus,megalonychidae,neotropical,rainforest;forest,LC
chromis viridis,Green Chromis,chromis,pomacentridae,indian ocean;pacific ocean,reef;coastal,NE
chrysocyon brachyurus,Maned Wolf,chrysocyon,canidae,neotropical,rainforest,NT
chrysolophus amherstiae,Lady Amherst's Pheasant,chrysolophus,phasianidae,oriental,mountain,LC
chrysolophus pictus,Golden Pheasant,chrysolophus,phasianidae,oriental,scrub forest;forest,LC
ciconia abdimii,Abdim's Stork,ciconia,ciconiidae,ethiopian,forest,LC
ciconia ciconia,White Stork,ciconia,ciconiidae,palearctic;oriental;ethiopian,marsh;savanna/grassland;urban;suburban;riparian,LC
ciconia nigra,Black Stork,ciconia,ciconiidae,palearctic;ethiopian,forest;scrub forest;mountains;rivers;marsh;swamp;riparian,LC
cinnyricinclus leucogaster,Violet backed starling,cinnyricinclus ,sturnidae,ethiopian,forest,LC
cissa chinensis,Hunting Cissa;Common Green Magpie,cissa,corvidae,oriental,forest,LC
claravis pretiosa,Blue Ground Dove,claravis,columbidae,neotropical,forest;rainforest,LC
clemmys guttata,Spotted Turtle,clemmys,emydidae,nearctic,swamp;marsh,EN
cleptornis marchei,Golden White-Eye,cleptornis,zosteropidae,island endemic,forest,CR
cochlearius cochlearius,Boat-Billed Heron;Boatbill,cochlearius,ardeidae,neotropical,swamp;marsh;rainforest,LC
coendou prehensilis,Prehensile-Tailed Porcupine,coendou,erethizontidae,neotropical,forest;rainforest,NE
coereba flaveola,Bananaquit,coereba,thraupidae,neotropical,forest,LC
colinus virginianus,Northern Bobwhite;Virginia Quail,colinus,odontophoridae,nearctic,savanna/grassland,NT
colius striatus,Speckled Mousebird,colius,coliidae,ethiopian,savanna/grassland,LC
colobus angolensis,Angolan Colobus,colobus,cercopithecidae,ethiopian,rainforest,LC
colobus guereza,Colobus Monkey;Black-and-White Colobus,colobus,cercopithecidae,ethiopian,forest;rainforest;scrub forest;riparian,LC
columba guinea,Speckled Pigeon;African Rock Pigeon,columba,columbidae,ethiopian,savanna/grassland;scrub forest,LC
connochaetes taurinus,Blue Wildebeest;Common Wildebeest;White-Bearded Wildebeest;Brindled Gnu,connochaetes,bovidae,ethiopian,savanna/grassland,LC
copsychus malabaricus,White-Rumped Shama,copsychus,muscicapidae,oriental,forest,LC
coracias cyanogaster,Blue-Bellied Roller,coracias,coraciidae,ethiopian,savanna/grassland;forest;scrub forest,LC
coracias spatulatus,Racket-Tailed Roller,coracias,coraciidae,ethiopian,forest,LC
coracopsis vasa,Greater Vasa Parrot,coracopsis,psittaculidae,ethiopian,forest,LC
coragyps atratus,Black Vulture,coragyps,cathartidae,neotropical,savanna/grassland,LC
corallus annulatus,Annulated Boa,corallus,boidae,neotropical,forest;rainforest,NE
corallus caninus,Emerald Tree Boa,corallus,boidae,neotropical,forest;rainforest,NE
corallus hortulanus,Amazon Tree Boa,corallus,boidae,neotropical,rainforest,NE
corucia zebrata,Solomon Islands Skink;Prehensile Tailed Skink,corucia,scincidae,australian,forest,NE
